Attribute,Keyword Value,Syntax,Type,Reference
multiple-document-handling,single-document-new-sheet,type2 keyword,,[RFC8011]
multiple-document-handling-default,,type2 keyword,,[RFC8011]
multiple-document-handling-default,"<Any ""multiple-document-handling"" value>",type2 keyword,,[RFC8011]
multiple-document-handling-supported,,1setOf (type2 keyword),,[RFC8011]
multiple-document-handling-supported,"<Any ""multiple-document-handling"" value>",1setOf (type2 keyword),,[RFC8011]
multiple-object-handling,,type2 keyword,,[PWG5100.21]
multiple-object-handling,auto,type2 keyword,,[PWG5100.21]
multiple-object-handling,best-fit,type2 keyword,,[PWG5100.21]
multiple-object-handling,best-quality,type2 keyword,,[PWG5100.21]
multiple-object-handling,best-speed,type2 keyword,,[PWG5100.21]
multiple-object-handling,one-at-a-time,type2 keyword,,[PWG5100.21]
multiple-object-handling-actual,,1setOf type2 keyword,,[PWG5100.21]
multiple-object-handling-actual,< any multiple-object-handling Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
multiple-object-handling-default,,type2 keyword,,[PWG5100.21]
multiple-object-handling-default,< any multiple-object-handling Job Template attribute value >,type2 keyword,,[PWG5100.21]
multiple-object-handling-supported,,1setOf type2 keyword,,[PWG5100.21]
multiple-object-handling-supported,< any multiple-object-handling Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
multiple-operation-time-out-action,,type2 keyword,,[PWG5100.13]
multiple-operation-time-out-action,abort-job,type2 keyword,,[PWG5100.13]
multiple-operation-time-out-action,hold-job,type2 keyword,,[PWG5100.13]
multiple-operation-time-out-action,process-job,type2 keyword,,[PWG5100.13]
notify-events,,1setOf type2 keyword,,[RFC3995]
notify-events,document-completed,1setOf type2 keyword,,[PWG5100.18]
notify-events,document-config-changed,1setOf type2 keyword,,[PWG5100.18]
notify-events,document-created,1setOf type2 keyword,,[PWG5100.18]
notify-events,document-fetchable,1setOf type2 keyword,,[PWG5100.18]
notify-events,document-state-changed,1setOf type2 keyword,,[PWG5100.18]
notify-events,document-stopped,1setOf type2 keyword,,[PWG5100.18]
notify-events,job-completed,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,job-config-changed,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,job-created,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,job-fetchable,1setOf type2 keyword,,[PWG5100.18]
notify-events,job-progress,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,job-state-changed,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,job-stopped,1setOf type2 keyword,Job Events,[RFC3995]
notify-events,none,1setOf type2 keyword,No Events,[RFC3995]
notify-events,printer-config-changed,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-created,1setOf type2 keyword,,[PWG5100.22]
notify-events,printer-deleted,1setOf type2 keyword,,[PWG5100.22]
notify-events,printer-finishings-changed,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-media-changed,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-queue-order-changed,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-restarted,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-shutdown,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-state-changed,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,printer-stopped,1setOf type2 keyword,Printer Events,[RFC3995]
notify-events,resource-canceled,1setOf type2 keyword,,[PWG5100.22]
notify-events,resource-config-changed,1setOf type2 keyword,,[PWG5100.22]
notify-events,resource-created,1setOf type2 keyword,,[PWG5100.22]
notify-events,resource-installed,1setOf type2 keyword,,[PWG5100.22]
notify-events,resource-state-changed,1setOf type2 keyword,,[PWG5100.22]
notify-events,system-config-changed,1setOf type2 keyword,,[PWG5100.22]
notify-events,system-restarted,1setOf type2 keyword,,[PWG5100.22]
notify-events,system-shutdown,1setOf type2 keyword,,[PWG5100.22]
notify-events,system-state-changed,1setOf type2 keyword,,[PWG5100.22]
notify-events,system-stopped,1setOf type2 keyword,,[PWG5100.22]
notify-events-default,,1setOf type2 keyword,,[RFC3995]
notify-events-default,"<Any ""notify-events"" value>",1setOf type2 keyword,,[RFC3995]
notify-events-supported,,1setOf type2 keyword,,[RFC3995]
notify-events-supported,"<Any ""notify-events"" value>",1setOf type2 keyword,,[RFC3995]
notify-pull-method,,type2 keyword,,[RFC3995]
notify-pull-method,ippget,type2 keyword,,[RFC3996]
notify-pull-method-supported,,1setOf type2 keyword,,[RFC3995]
notify-pull-method-supported,"<Any ""notify-pull-method"" value>",1setOf type2 keyword,,[RFC3995]
notify-subscribed-event,,type2 keyword,,[RFC3995]
notify-subscribed-event,"<Any ""notify-events"" value>",type2 keyword,,[RFC3995]
output-bin,,type2 keyword,,[PWG5100.2]
output-bin,auto,type2 keyword,,[APPLE-OUTPUT-BIN]
output-bin,bottom,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,center,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,face-down,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,face-up,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,large-capacity,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,left,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-1,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-2,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-3,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-4,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-5,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-6,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-7,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-8,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-9,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,mailbox-10,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,middle,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,my-mailbox,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,rear,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,right,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,side,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-1,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-2,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-3,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-4,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-5,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-6,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-7,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-8,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-9,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,stacker-10,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,top,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-1,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-2,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-3,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-4,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-5,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-6,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-7,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-8,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-9,type2 keyword | name(MAX),,[PWG5100.2]
output-bin,tray-10,type2 keyword | name(MAX),,[PWG5100.2]
output-bin-default,,type2 keyword | name(MAX),,[PWG5100.2]
output-bin-default,"<Any ""output-bin"" value>",type2 keyword | name(MAX),,[PWG5100.2]
output-bin-supported,,1setof (type2 keyword | name(MAX)),,[PWG5100.2]
output-bin-supported,"<Any ""output-bin"" value>",1setof (type2 keyword | name(MAX)),,[PWG5100.2]
page-delivery,,type2 keyword,,[PWG5100.3]
page-delivery,reverse-order-face-down,type2 keyword,,[PWG5100.3]
page-delivery,reverse-order-face-up,type2 keyword,,[PWG5100.3]
page-delivery,reverse-order,type2 keyword,,[CUPS]
page-delivery,same-order-face-down,type2 keyword,,[PWG5100.3]
page-delivery,same-order-face-up,type2 keyword,,[PWG5100.3]
page-delivery,same-order,type2 keyword,,[CUPS]
page-delivery,system-specified,type2 keyword,,[PWG5100.3]
page-delivery-default,,type2 keyword,,[PWG5100.3]
page-delivery-default,"<Any ""page-delivery"" value>",type2 keyword,,[PWG5100.3]
page-delivery-supported,,1setOf type2 keyword,,[PWG5100.3]
page-delivery-supported,"<Any ""page-delivery"" value>",1setOf type2 keyword,,[PWG5100.3]
page-order-received,,type2 keyword,,[PWG5100.3]
page-order-received,1-to-n-order,type2 keyword,,[PWG5100.3]
page-order-received,n-to-1-order,type2 keyword,,[PWG5100.3]
page-order-received-default,,type2 keyword,,[PWG5100.3]
page-order-received-default,"<Any ""page-order-received"" value>",type2 keyword,,[PWG5100.3]
page-order-received-supported,,1setOf type2 keyword,,[PWG5100.3]
page-order-received-supported,"<Any ""page-order-received"" value>",1setOf type2 keyword,,[PWG5100.3]
pclm-raster-back-side,,keyword,,[HP20180907]
pclm-raster-back-side,flipped,keyword,,[HP20180907]
pclm-raster-back-side,normal,keyword,,[HP20180907]
pclm-raster-back-side,rotated,keyword,,[HP20180907]
pdf-features-supported,,1setOf type2 keyword,,[PWG5100.21]
pdf-features-supported,prc,1setOf type2 keyword,,[PWG5100.21]
pdf-features-supported,u3d,1setOf type2 keyword,,[PWG5100.21]
pdf-versions-supported,,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,adobe-1.3,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,adobe-1.4,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,adobe-1.5,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,adobe-1.6,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-1_2001,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-3_2002,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-4_2003,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-6_2003,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-7_2010,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-15930-8_2010,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-16612-2_2010,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-19005-1_2005,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-19005-2_2011,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-19005-3_2012,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,iso-32000-1_2008,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,none,1setOf type2 keyword,,[PWG5100.16]
pdf-versions-supported,pwg-5102.3,1setOf type2 keyword,,[PWG5100.16]
pdl-init-file-supported,,1setOf type2 keyword,,[PWG5100.11]
pdl-init-file-supported,pdl-init-file-entry,1setOf type2 keyword,,[PWG5100.11]
pdl-init-file-supported,pdl-init-file-location,1setOf type2 keyword,,[PWG5100.11]
pdl-init-file-supported,pdl-init-file-name,1setOf type2 keyword,,[PWG5100.11]
pdl-override-supported,,type2 keyword,,[RFC8011]
pdl-override-supported,attempted,type2 keyword,,[RFC8011]
pdl-override-supported,guaranteed,type2 keyword,,[PWG5100.11]
pdl-override-supported,not-attempted,type2 keyword,,[RFC8011]
platform-shape,,type2 keyword,,[APPLE20170629]
platform-shape,ellipse,type2 keyword,,[APPLE20170629]
platform-shape,rectangle,type2 keyword,,[APPLE20170629]
presentation-direction-number-up,,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,tobottom-toleft,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,tobottom-toright,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,toleft-tobottom,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,toleft-totop,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,toright-tobottom,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,toright-totop,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,totop-toleft,type2 keyword,,[PWG5100.3]
presentation-direction-number-up,totop-toright,type2 keyword,,[PWG5100.3]
presentation-direction-number-up-default,,type2 keyword,,[PWG5100.3]
presentation-direction-number-up-default,"<Any ""presentation-direction-number-up"" value>",type2 keyword,,[PWG5100.3]
presentation-direction-number-up-supported,,1setOf type2 keyword,,[PWG5100.3]
presentation-direction-number-up-supported,"<Any ""presentation-direction-number-up"" value>",1setOf type2 keyword,,[PWG5100.3]
print-base,,type2 keyword,,[PWG5100.21]
print-base,brim,type2 keyword,,[PWG5100.21]
print-base,none,type2 keyword,,[PWG5100.21]
print-base,raft,type2 keyword,,[PWG5100.21]
print-base,skirt,type2 keyword,,[PWG5100.21]
print-base,standard,type2 keyword,,[PWG5100.21]
print-base-actual,,1setOf type2 keyword,,[PWG5100.21]
print-base-actual,< any print-base Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
print-base-default,,type2 keyword,,[PWG5100.21]
print-base-default,< any print-base Job Template attribute value >,type2 keyword,,[PWG5100.21]
print-base-supported,,1setOf type2 keyword,,[PWG5100.21]
print-base-supported,< any print-base Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
print-color-mode,,type2 keyword,,[PWG5100.13]
print-color-mode,auto,type2 keyword,,[PWG5100.13]
print-color-mode,auto-monochrome,type2 keyword,,[APPLE20171101]
print-color-mode,bi-level,type2 keyword,,[PWG5100.13]
print-color-mode,color,type2 keyword,,[PWG5100.13]
print-color-mode,highlight,type2 keyword,,[PWG5100.13]
print-color-mode,monochrome,type2 keyword,,[PWG5100.13]
print-color-mode,process-bi-level,type2 keyword,,[PWG5100.13]
print-color-mode,process-monochrome,type2 keyword,,[PWG5100.13]
print-color-mode-default,,type2 keyword,,[PWG5100.13]
print-color-mode-default,"<Any ""print-color-mode"" value>",type2 keyword,,[PWG5100.13]
print-color-mode-supported,,1setOf type2 keyword,,[PWG5100.13]
print-color-mode-supported,"<Any ""print-color-mode"" value>",1setOf type2 keyword,,[PWG5100.13]
print-content-optimize,,type2 keyword,,[PWG5100.7]
print-content-optimize,auto,type2 keyword,,[PWG5100.13]
print-content-optimize,graphic,type2 keyword,,[PWG5100.7]
print-content-optimize,photo,type2 keyword,,[PWG5100.7]
print-content-optimize,text,type2 keyword,,[PWG5100.7]
print-content-optimize,text-and-graphic,type2 keyword,,[PWG5100.7]
print-content-optimize-actual,,1setOf type2 keyword,,[PWG5100.7]
print-content-optimize-actual,"<Any ""print-content-optimize"" value>",1setOf type2 keyword,,[PWG5100.7]
print-content-optimize-default,,type2 keyword,,[PWG5100.7]
print-content-optimize-default,"<Any ""print-content-optimize"" value>",type2 keyword,,[PWG5100.7]
print-content-optimize-supported,,1setOf type2 keyword,,[PWG5100.7]
print-content-optimize-supported,"<Any ""print-content-optimize"" value>",1setOf type2 keyword,,[PWG5100.7]
print-objects-supported,,1setOf type2 keyword,,[PWG5100.21]
print-objects-supported,< any print-objects member attribute name >,1setOf type2 keyword,,[PWG5100.21]
print-rendering-intent,,type2 keyword,,[PWG5100.13]
print-rendering-intent,absolute,type2 keyword,,[PWG5100.13]
print-rendering-intent,auto,type2 keyword,,[PWG5100.13]
print-rendering-intent,perceptual,type2 keyword,,[PWG5100.13]
print-rendering-intent,relative,type2 keyword,,[PWG5100.13]
print-rendering-intent,relative-bpc,type2 keyword,,[PWG5100.13]
print-rendering-intent,saturation,type2 keyword,,[PWG5100.13]
print-rendering-intent-default,,type2 keyword,,[PWG5100.13]
print-rendering-intent-default,"<Any ""print-rendering-intent"" value>",type2 keyword,,[PWG5100.13]
print-rendering-intent-supported,,1setOf type2 keyword,,[PWG5100.13]
print-rendering-intent-supported,"<Any ""print-rendering-intent"" value>",1setOf type2 keyword,,[PWG5100.13]
print-scaling,,type2 keyword,,[PWG5100.16]
print-scaling,auto,type2 keyword,,[PWG5100.16]
print-scaling,auto-fit,type2 keyword,,[PWG5100.16]
print-scaling,fill,type2 keyword,,[PWG5100.16]
print-scaling,fit,type2 keyword,,[PWG5100.16]
print-scaling,none,type2 keyword,,[PWG5100.16]
print-supports,,type2 keyword,,[PWG5100.21]
print-supports,material,type2 keyword,,[PWG5100.21]
print-supports,none,type2 keyword,,[PWG5100.21]
print-supports,standard,type2 keyword,,[PWG5100.21]
print-supports-actual,,1setOf type2 keyword,,[PWG5100.21]
print-supports-actual,< any print-supports Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
print-supports-default,,type2 keyword,,[PWG5100.21]
print-supports-default,< any print-supports Job Template attribute value >,type2 keyword,,[PWG5100.21]
print-supports-supported,,1setOf type2 keyword,,[PWG5100.21]
print-supports-supported,< any print-supports Job Template attribute value >,1setOf type2 keyword,,[PWG5100.21]
printer-kind,,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,disc,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,document,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,envelope,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,label,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,large-format,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,photo,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,postcard,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,receipt,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-kind,roll,1setOf (type2 keyword | name(MAX)),,[PWG5100.16]
printer-service-type,,type2 keyword,,[PWG5100.22]
printer-service-type,copy,type2 keyword,,[PWG5100.22]
printer-service-type,faxin,type2 keyword,,[PWG5100.22]
printer-service-type,faxout,type2 keyword,,[PWG5100.22]
printer-service-type,print,type2 keyword,,[PWG5100.22]
printer-service-type,print3d,type2 keyword,,[PWG5100.22]
printer-service-type,scan,type2 keyword,,[PWG5100.22]
printer-service-type,transform,type2 keyword,,[PWG5100.22]
printer-state-reasons,,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,alert-removal-of-binary-change-entry,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,bander-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-turned-off,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-turned-on,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-under-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-unrecoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-unrecoverable-storage-error,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,binder-warming-up,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,camera-failure,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,chamber-cooling,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,chamber-failure,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,chamber-heating,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,chamber-temperature-high,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,chamber-temperature-low,1setOf type2 keyword,,[PWG5100.21]
printer-state-reasons,cleaner-life-almost-over,1setOf type2 keyword,,[PWG5100.13]
printer-state-reasons,cleaner-life-over,1setOf type2 keyword,,[PWG5100.13]
printer-state-reasons,configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,connecting-to-device,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,cover-open,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,deactivated,1setOf type2 keyword,,[RFC3998]
printer-state-reasons,deleted,1setOf type2 keyword,,[PWG5100.22]
printer-state-reasons,developer-empty,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,developer-low,1setOf type2 keyword,,[RFC8011]
printer-state-reasons,die-cutter-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-almost-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-almost-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-at-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-configuration-change,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-cover-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-cover-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-empty,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-full,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-interlock-closed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-interlock-open,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-jam,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-life-almost-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-life-over,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-memory-exhausted,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-missing,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-motor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-near-limit,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-offline,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-opened,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-over-temperature,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-power-saver,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-recoverable-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-recoverable-storage,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-resource-added,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-resource-removed,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-thermistor-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-timing-failure,1setOf type2 keyword,,[PWG5100.9]
printer-state-reasons,die-cutter-turned-off,1setOf type2 keyword,,[PWG5100.9]
